,total pass. count,total waiting time,total in-veh. time,total travel time,travel time per pass.,total veh. kms,total city travelers,total terminal travelers,avg. travel time to city,avg. travel time to terminal,wt city travel,ivt city travel,wt terminal travel,ivt terminal travel
large_half_1_init.pickle,149,1295.2599999999998,3646.1800000000003,4941.44,33.16,614.98,149,0,33.16,0.0,8.693020134228187,24.471006711409398,0.0,0.0
large_half_1_opt.pickle,149,1037.06,3445.0,4482.06,30.08,450.56,149,0,30.08,0.0,6.960134228187919,23.120805369127517,0.0,0.0
large_half_2_init.pickle,161,1331.3899999999999,3909.1299999999997,5240.52,32.55,562.46,161,0,32.55,0.0,8.269503105590061,24.28031055900621,0.0,0.0
large_half_2_opt.pickle,161,1297.27,3627.66,4924.93,30.59,551.13,161,0,30.59,0.0,8.057577639751553,22.532049689440992,0.0,0.0
large_half_3_init.pickle,156,1193.3799999999999,3731.7500000000005,4925.13,31.57,594.65,156,0,31.57,0.0,7.649871794871794,23.92147435897436,0.0,0.0
large_half_3_opt.pickle,156,1118.16,3710.2700000000004,4828.43,30.95,574.86,156,0,30.95,0.0,7.167692307692308,23.783782051282053,0.0,0.0
large_more_1_init.pickle,149,2040.1399999999999,5645.18,7685.32,51.58,519.72,149,0,51.58,0.0,13.69221476510067,37.88711409395973,0.0,0.0
large_more_1_opt.pickle,149,1546.7400000000002,5641.250000000002,7187.99,48.24,477.47,149,0,48.24,0.0,10.380805369127518,37.86073825503357,0.0,0.0
large_more_2_init.pickle,161,2041.7999999999997,6198.25,8240.05,51.18,464.88,161,0,51.18,0.0,12.68198757763975,38.49844720496895,0.0,0.0
large_more_2_opt.pickle,161,1645.7400000000002,6166.67,7812.41,48.52,436.01,161,0,48.52,0.0,10.221987577639753,38.302298136645966,0.0,0.0
large_more_3_init.pickle,156,1946.9400000000003,6060.919999999999,8007.86,51.33,487.4,156,0,51.33,0.0,12.480384615384617,38.85205128205128,0.0,0.0
large_more_3_opt.pickle,156,1378.5800000000004,6129.509999999999,7508.09,48.13,471.23,156,0,48.13,0.0,8.837051282051284,39.29173076923077,0.0,0.0
medium_half_1_init.pickle,153,1081.01,2508.7799999999993,3589.79,23.46,344.14,146,7,23.2,28.84,6.752465753424659,16.452465753424654,13.592857142857142,15.245714285714287
