,total pass. count,total waiting time,total in-veh. time,total travel time,travel time per pass.,total veh. kms,total city travelers,total terminal travelers,avg. travel time to city,avg. travel time to terminal,wt city travel,ivt city travel,wt terminal travel,ivt terminal travel,in-advance pass. count,real-time pass. count,in-advance tt,real-time tt
1_real_scen1_subscen2_opt.pickle,719,9749.24,20093.970000000005,29843.21,41.51,1347.2,667,52,40.48,54.63,12.795652173913043,27.68796101949026,23.356538461538467,31.271153846153844,680,39,28029.68,1813.53
1_real_scen3_subscen2_opt.pickle,653,8351.44,17969.97,26321.41,40.31,1250.13,643,10,39.87,68.81,12.411881804043546,27.453374805598756,37.06,31.744999999999997,639,14,25408.22,913.19
2_real_scen1_subscen2_opt.pickle,717,9083.689999999999,20641.7,29725.39,41.46,1340.28,668,49,40.75,51.1,12.057754491017963,28.693203592814374,21.00224489795918,30.094693877551016,681,36,27939.899999999998,1785.49
2_real_scen3_subscen2_opt.pickle,657,7181.83,17355.359999999997,24537.19,37.35,1089.17,648,9,37.2,48.15,10.845246913580246,26.352037037037036,17.123333333333335,31.026666666666667,641,16,23843.23,693.96
