,total pass. count,total waiting time,total in-veh. time,total travel time,travel time per pass.,total veh. kms,total city travelers,total terminal travelers,avg. travel time to city,avg. travel time to terminal,wt city travel,ivt city travel,wt terminal travel,ivt terminal travel,in-advance pass. count,real-time pass. count,in-advance tt,real-time tt
real_dod0.25_dyn_opt.pickle,654,12159.829999999998,17204.64,29364.47,44.9,1594.36,631,23,44.26,62.46,17.880792393026944,26.378843106180664,38.13260869565217,24.330000000000002,491,163,19912.550000000003,9451.92
real_dod0.25_stat_opt.pickle,491,5238.780000000001,13071.12,18309.9,37.29,1156.52,476,15,36.88,50.24,10.130420168067225,26.75262605042017,27.779999999999994,22.457999999999995,491,0,18309.9,0.0
real_dod0.5_dyn_opt.pickle,654,16732.05,17168.47,33900.52,51.84,1580.45,631,23,51.57,59.11,25.24335974643423,26.327052297939783,34.93434782608695,24.178260869565218,327,327,13787.189999999995,20113.33
real_dod0.5_stat_opt.pickle,327,3403.05,8113.709999999998,11516.76,35.22,988.7,316,11,35.02,40.85,10.069145569620252,24.954272151898735,20.10909090909091,20.741818181818182,327,0,11516.76,0.0
real_dod0.75_dyn_opt.pickle,654,20824.32,16776.589999999997,37600.91,57.49,1622.08,631,23,57.04,69.89,31.860158478605392,25.18177496038035,31.328695652173906,38.5604347826087,164,490,9289.820000000003,28311.09
real_dod0.75_stat_opt.pickle,164,1276.1,4003.12,5279.22,32.19,915.99,161,3,31.89,48.43,7.415838509316769,24.47192546583851,27.383333333333336,21.046666666666667,164,0,5279.22,0.0
