,total pass. count,#request groups,total waiting time,total in-veh. time,stopping time,total travel time,travel time per pass.,total veh. kms,total city travelers,total terminal travelers,avg. travel time to city,avg. travel time to terminal,wt city travel,ivt city travel,wt terminal travel,ivt terminal travel,in-advance pass. count,real-time pass. count,in-advance tt,real-time tt
real_dod0.25_dyn_opt.pickle,654,286,38067.94,17667.37,11141.13,55735.31,85.22,5438.41,631,23,85.37,81.07,58.50952456418383,26.86394611727417,49.931739130434785,31.139999999999997,491,163,23710.699999999997,32024.61
real_dod0.25_stat_opt.pickle,491,123,9258.1,13787.619999999999,11748.73,23045.72,46.94,1699.06,476,15,46.54,59.47,18.25308823529412,28.288340336134453,37.97533333333333,21.491333333333333,491,0,23045.72,0.0
real_dod0.5_dyn_opt.pickle,654,428,53118.34000000001,17168.79,8861.69,70287.13,107.47,6922.3,631,23,107.25,113.49,81.86729001584786,25.38592709984152,63.48173913043479,50.01173913043478,327,327,15011.200000000004,55275.93
real_dod0.5_stat_opt.pickle,327,101,4804.470000000002,8001.87,6373.58,12806.34,39.16,1356.92,316,11,38.45,59.63,13.801107594936713,24.649588607594932,40.30181818181818,19.327272727272728,327,0,12806.34,0.0
real_dod0.75_dyn_opt.pickle,654,564,62323.240000000005,16601.219999999998,7817.759999999998,78924.46,120.68,7319.44,631,23,120.82,116.85,96.89515055467513,23.92388272583201,51.408695652173904,65.44565217391303,164,490,8057.970000000001,70866.49
real_dod0.75_stat_opt.pickle,164,74,1887.98,3856.2999999999993,2385.7599999999993,5744.28,35.03,1225.45,161,3,34.82,46.29,11.245093167701864,23.571180124223602,25.840000000000003,20.446666666666665,164,0,5744.28,0.0
