,total pass. count,#request groups,total waiting time,total in-veh. time,stopping time,total travel time,travel time per pass.,total veh. kms,total city travelers,total terminal travelers,avg. travel time to city,avg. travel time to terminal,wt city travel,ivt city travel,wt terminal travel,ivt terminal travel,in-advance pass. count,real-time pass. count,in-advance tt,real-time tt
real_scen2_subscen1_init.pickle,654,133,20953.54,21216.15,18728.04,42169.69,64.48,2073.45,631,23,64.16,73.17,31.39053882725832,32.77225039619651,49.830869565217384,23.34173913043478,654,0,42169.69,0
real_scen2_subscen1_opt.pickle,654,150,18792.589999999997,18950.53,16571.44,37743.12,57.71,1982.6,631,23,56.47,91.77,27.32904912836767,29.140744849445326,67.30260869565218,24.466086956521735,654,0,37743.12,0
real_scen2_subscen2_init.pickle,654,140,20691.380000000005,21957.769999999997,19531.459999999995,42649.15,65.21,2021.93,631,23,65.24,64.56,31.48797147385103,33.748526148969894,35.75956521739131,28.802173913043475,654,0,42649.15,0
real_scen2_subscen2_opt.pickle,654,156,18870.320000000003,18316.800000000003,15674.370000000003,37187.12,56.86,2202.01,631,23,55.35,98.36,27.33648177496038,28.01201267828843,70.4782608695652,27.879130434782606,654,0,37187.12,0
real_scen2_subscen3_init.pickle,657,134,20078.129999999997,19309.510000000002,16872.670000000002,39387.64,59.95,2030.65,631,26,60.48,47.21,30.84270998415214,29.632900158478606,23.706923076923083,23.50576923076923,657,0,39387.64,0
real_scen2_subscen3_opt.pickle,657,148,18108.039999999997,17420.100000000002,15023.220000000001,35528.14,54.08,1997.39,631,26,52.2,99.73,25.51838351822504,26.676830427892238,77.15153846153845,22.577692307692306,657,0,35528.14,0
