,total pass. count,total waiting time,total in-veh. time,total travel time,travel time per pass.,total veh. kms,total city travelers,total terminal travelers,avg. travel time to city,avg. travel time to terminal,wt city travel,ivt city travel,wt terminal travel,ivt terminal travel
1_real_scen2_subscen1_opt.pickle,654,8303.689999999999,17630.76,25934.45,39.66,1327.67,631,23,38.92,59.75,12.07350237717908,26.84930269413629,29.796086956521737,29.949999999999996
1_real_scen2_subscen2_opt.pickle,654,9555.53,17198.74,26754.27,40.91,1407.36,631,23,39.93,67.67,13.811521394611729,26.121537242472264,36.541739130434784,31.132608695652173
1_real_scen2_subscen3_opt.pickle,657,7846.19,16851.729999999996,24697.92,37.59,1346.38,631,26,37.21,46.82,11.511648177496038,25.700095087163238,22.39769230769231,24.42192307692308
2_real_scen2_subscen1_opt.pickle,675,9933.230000000001,17957.17,27890.4,41.32,1369.17,653,22,40.31,71.38,14.00955589586524,26.296722817764163,35.681363636363635,35.70045454545454
2_real_scen2_subscen2_opt.pickle,675,8457.339999999998,17926.57,26383.91,39.09,1283.31,653,22,38.41,59.11,11.655130168453294,26.75742725880551,38.47909090909092,20.635
2_real_scen2_subscen3_opt.pickle,676,8181.340000000001,17664.5,25845.84,38.23,1265.69,653,23,37.58,56.84,11.40133231240429,26.176952526799386,32.011739130434776,24.823913043478264
