,0,1,2,3,4,5,6,7
"(5, '13,1')",56.14,1.0,2.0,,,,,
"(5, '13,2')",56.14,1.0,,,,,,
"(5, '9,2')",66.39,1.0,,,,,,
"(5, '10,0')",71.19,1.0,,,,,,
"(5, '12,0')",79.84,3.0,,,,,,
"(5, '12,1')",79.84,1.0,,,,,,
"(5, '15,0')",89.44,,,,,,,
"(5, '13,0')",97.49,1.0,,,,,,
"(5, '13,3')",97.49,2.0,1.0,,,,,
"(5, '14,0')",101.82,,,,,,,
"(5, '12,2')",106.62,1.0,,,,,,
"(5, '1,0')",133.02,2.0,,,,,,
"(5, '1,1')",133.02,1.0,,,,,,
"(5, '2,0')",139.48,1.0,,,,,,
"(5, '2,1')",139.48,1.0,,,,,,
"(5, '5,0')",148.85,1.0,,,,,,
"(5, '5,1')",148.85,1.0,,,,,,
"(5, '7,0')",156.53,1.0,,,,,,
"(5, '7,1')",156.53,2.0,,,,,,
"(5, '4,0')",168.35,1.0,,,,,,
"(5, '4,1')",168.35,1.0,,,,,,
"(5, '15,2')",199.55,,,,,,,
"(5, '4,2')",230.75,2.0,,,,,,
"(5, '6,0')",239.4,1.0,,,,,,
"(5, '6,1')",239.4,1.0,,,,,,
"(5, '9,0')",251.4,2.0,,,,,,
"(5, '9,1')",251.4,1.0,,,,,,
"(5, '15,3')",268.2,,,,,,,
"(5, '3,0')",299.61,2.0,,,,,,
"(5, '15,4')",331.02,,,,,,,
"(6, '1,2')",1.35,1.0,,,,,,
"(6, '15,1')",37.35,1.0,,,,,,
"(6, '13,1')",45.4,1.0,,,,,,
"(6, '13,2')",45.4,2.0,3.0,,,,,
"(6, '10,0')",58.16,1.0,,,,,,
"(6, '14,1')",72.21,2.0,,,,,,
"(6, '15,0')",77.01,,,,,,,
"(6, '13,0')",85.06,1.0,,,,,,
"(6, '13,3')",86.95,2.0,1.0,2.0,,,,
"(6, '14,0')",91.28,,,,,,,
"(6, '12,0')",96.08,1.0,,,,,,
"(6, '1,0')",122.48,4.0,,,,,,
"(6, '1,1')",122.48,1.0,,,,,,
"(6, '2,0')",128.94,1.0,,,,,,
"(6, '2,1')",128.94,1.0,,,,,,
"(6, '5,0')",138.31,2.0,,,,,,
"(6, '5,1')",138.31,1.0,,,,,,
"(6, '12,1')",155.11,1.0,,,,,,
"(6, '12,2')",155.11,1.0,,,,,,
"(6, '15,2')",187.89,,,,,,,
"(6, '4,0')",219.09,2.0,,,,,,
"(6, '6,0')",227.74,1.0,,,,,,
