,0,1,2,3
"(24, '15,1')",49.2,,,
"(24, '13,0')",57.25,1.0,,
"(24, '14,0')",61.58,,,
"(24, '12,0')",66.7,2.0,,
"(24, '8,0')",88.78,2.0,,
"(24, '15,0')",107.98,,,
"(24, '3,0')",139.39,3.0,,
"(24, '15,2')",170.8,,,
"(25, '8,0')",17.76,2.0,1.0,
"(25, '15,0')",39.17,1.0,,
"(25, '12,0')",48.77,,,
"(25, '12,1')",48.77,2.0,,
"(25, '13,0')",62.07,2.0,,
"(25, '15,1')",70.12,,,
"(25, '9,0')",86.92,1.0,,
"(25, '7,0')",92.92,3.0,,
"(25, '15,2')",113.88,,,
"(25, '3,0')",145.29,2.0,,
"(25, '15,3')",176.7,,,
"(26, '5,0')",30.24,1.0,3.0,
"(26, '15,0')",56.64,1.0,,
"(26, '12,0')",66.24,,,
"(26, '12,1')",66.24,2.0,,
"(26, '15,1')",75.84,,,
"(26, '9,0')",94.76,1.0,1.0,
"(26, '4,0')",109.16,2.0,,
"(26, '15,2')",140.36,,,
"(27, '3,0')",13.24,3.0,1.0,
"(27, '15,3')",44.65,,,
"(27, '12,2')",54.25,4.0,,
"(27, '15,1')",63.85,,,
"(27, '12,0')",73.45,1.0,,
"(27, '13,0')",77.78,,,
"(27, '12,1')",82.11,2.0,,
"(27, '15,0')",91.71,,,
"(27, '11,0')",106.36,2.0,,
"(27, '15,2')",121.01,,,
"(28, '8,0')",16.8,1.0,,
"(28, '15,0')",36.0,1.0,,
"(28, '13,0')",44.05,4.0,,
"(28, '15,1')",52.1,,,
"(28, '13,1')",60.15,2.0,,
"(28, '15,2')",68.2,,,
"(28, '9,0')",85.0,1.0,,
"(28, '7,0')",91.0,3.0,,
"(28, '15,3')",111.96,,,
"(29, '8,0')",16.8,1.0,,
"(29, '15,0')",36.0,1.0,,
"(29, '14,1')",40.8,2.0,,
"(29, '13,0')",45.13,,,
"(29, '14,0')",49.46,1.0,,
"(29, '15,1')",54.26,,,
"(29, '13,1')",62.31,2.0,,
"(29, '15,2')",70.36,,,
"(29, '9,0')",87.16,1.0,1.0,
"(29, '7,0')",93.16,2.0,,
"(29, '15,3')",114.12,,,
"(30, '15,0')",61.37,1.0,,
"(30, '4,0')",92.57,,,
"(30, '5,0')",97.37,1.0,,
"(30, '5,1')",97.37,3.0,,
"(30, '15,1')",123.77,,,
"(31, '1,0')",41.7,2.0,,
"(31, '15,0')",77.7,,,
"(31, '7,0')",98.66,3.0,1.0,
"(31, '15,1')",119.62,,,
"(32, '1,0')",44.64,1.0,,
"(32, '15,0')",80.64,,,
"(32, '11,0')",96.96,3.0,1.0,
"(32, '15,1')",111.61,,,
"(33, '1,0')",49.87,1.0,,
"(33, '15,0')",85.87,,,
"(33, '12,0')",100.22,2.0,1.0,1.0
"(33, '15,1')",109.82,,,
"(33, '3,0')",141.23,2.0,,
"(33, '15,2')",172.64,,,
"(34, '6,1')",15.58,2.0,,
"(34, '15,2')",42.94,,,
"(34, '1,0')",78.94,4.0,,
"(34, '15,0')",114.94,,,
"(34, '6,0')",142.3,2.0,,
"(34, '15,1')",169.66,,,
"(35, '6,1')",12.0,1.0,,
"(35, '15,2')",39.36,,,
"(35, '9,0')",56.16,1.0,,
"(35, '1,0')",75.36,3.0,,
"(35, '15,0')",111.36,,,
"(35, '6,0')",138.72,2.0,,
"(35, '15,1')",166.08,,,
"(36, '1,0')",15.67,2.0,,
"(36, '15,0')",51.67,,,
"(36, '14,0')",82.07,3.0,,
"(36, '15,1')",86.87,,,
"(36, '9,0')",103.67,1.0,,
"(36, '4,0')",118.07,3.0,,
"(36, '15,2')",149.27,,,
"(37, '1,0')",23.77,3.0,,
"(37, '15,0')",59.77,,,
"(37, '12,0')",69.37,2.0,,
"(37, '8,0')",115.23,2.0,,
"(37, '15,1')",134.43,,,
"(38, '1,0')",28.1,4.0,,
"(38, '15,0')",64.1,,,
"(38, '15,1')",64.1,1.0,,
"(38, '11,0')",78.75,,,
"(38, '12,0')",87.49,4.0,,
"(38, '15,2')",97.09,,,
"(38, '11,1')",112.79,1.0,,
"(38, '4,0')",133.75,1.0,,
"(38, '3,0')",137.35,2.0,,
"(38, '15,3')",168.76,,,
"(39, '1,0')",32.13,1.0,,
"(39, '15,0')",68.13,,,
"(39, '7,0')",89.59,2.0,2.0,
"(39, '15,1')",110.55,,,
"(39, '3,0')",141.96,4.0,,
"(39, '15,2')",173.37,,,
"(40, '1,0')",72.99,2.0,,
"(40, '15,0')",108.99,,,
"(40, '3,0')",140.4,4.0,,
"(40, '15,1')",171.81,,,
"(41, '1,0')",76.88,2.0,,
"(41, '15,0')",112.88,,,
"(42, '1,0')",79.78,1.0,,
"(42, '15,0')",115.78,,,
"(43, '1,0')",87.8,3.0,,
"(43, '15,0')",123.8,,,
"(44, '1,0')",6.59,4.0,,
"(44, '15,0')",42.59,,,
"(44, '13,0')",83.28,2.0,2.0,
"(44, '15,1')",91.33,,,
"(44, '6,0')",118.69,2.0,,
"(44, '15,2')",146.05,,,
"(45, '1,0')",8.91,2.0,,
"(45, '15,0')",44.91,,,
"(45, '13,0')",52.96,4.0,,
"(45, '15,1')",61.01,,,
"(45, '13,1')",73.52,2.0,,
"(45, '15,2')",81.57,,,
"(45, '7,0')",102.53,4.0,,
"(45, '15,3')",123.49,,,
"(46, '1,0')",12.21,2.0,,
"(46, '15,0')",48.21,1.0,,
"(46, '14,0')",53.01,,,
"(46, '12,0')",58.74,2.0,,
"(46, '5,0')",109.11,2.0,,
"(46, '15,1')",135.51,,,
"(47, '1,0')",102.49,2.0,,
"(47, '15,0')",138.49,,,
"(48, '1,0')",103.31,1.0,,
"(48, '15,0')",139.31,,,
"(49, '1,0')",4.53,3.0,,
"(49, '15,0')",40.53,,,
"(49, '14,0')",45.33,1.0,,
"(49, '14,1')",45.33,1.0,,
"(49, '13,0')",49.66,2.0,,
"(49, '15,1')",57.71,,,
"(49, '13,1')",86.55,3.0,,
"(49, '15,2')",94.6,,,
"(49, '4,0')",125.8,3.0,,
"(49, '15,3')",157.0,,,
"(50, '1,0')",108.96,3.0,,
"(50, '15,0')",144.96,,,
"(51, '1,0')",115.81,2.0,,
"(51, '15,0')",151.81,,,
"(52, '2,0')",110.87,2.0,,
"(52, '15,0')",145.0,,,
"(53, '2,0')",76.88,3.0,,
"(53, '15,0')",111.01,,,
"(54, '12,1')",26.4,2.0,,
"(54, '15,2')",36.0,,,
"(54, '7,0')",56.96,2.0,,
"(54, '2,0')",83.94,2.0,,
"(54, '15,0')",118.07,,,
"(54, '12,0')",127.67,3.0,,
"(54, '15,1')",137.27,,,
"(55, '2,0')",49.4,3.0,,
"(55, '15,0')",85.45,1.0,1.0,
"(55, '7,0')",106.41,,,
"(55, '6,0')",112.87,3.0,,
"(55, '6,1')",112.87,1.0,,
"(55, '15,1')",140.23,,,
"(56, '9,0')",19.2,2.0,,
"(56, '15,2')",36.0,,,
"(56, '3,0')",67.41,2.0,,
"(56, '2,0')",70.8,2.0,,
"(56, '15,0')",104.93,,,
"(56, '6,0')",132.29,2.0,1.0,
"(56, '15,1')",159.65,,,
"(57, '6,1')",13.07,3.0,1.0,
"(57, '15,2')",40.43,,,
"(57, '9,0')",57.23,2.0,,
"(57, '2,0')",75.07,2.0,,
"(57, '15,0')",109.2,,,
"(57, '6,0')",136.56,3.0,,
"(57, '15,1')",163.92,,,
"(58, '4,1')",4.8,3.0,,
"(58, '15,2')",36.0,,,
"(58, '11,0')",50.65,1.0,,
"(58, '11,1')",50.65,1.0,,
"(58, '2,0')",72.38,2.0,,
"(58, '15,0')",106.51,,,
"(58, '4,0')",137.71,3.0,,
"(58, '15,1')",168.91,,,
"(59, '2,0')",95.03,2.0,,
"(59, '15,0')",129.16,,,
"(60, '2,0')",97.76,2.0,,
"(60, '15,0')",131.89,,,
"(61, '2,0')",108.88,3.0,,
"(61, '15,0')",143.01,,,
"(62, '2,0')",36.97,2.0,,
"(62, '15,0')",71.1,,,
"(62, '9,1')",87.9,1.0,,
"(62, '7,0')",93.9,2.0,,
"(62, '15,1')",114.86,,,
"(62, '15,2')",114.86,1.0,,
"(62, '9,0')",131.66,,,
"(63, '2,0')",23.0,4.0,,
"(63, '15,0')",57.13,,,
"(63, '14,0')",102.04,2.0,,
"(63, '15,1')",106.84,,,
"(63, '9,0')",123.64,1.0,,
"(63, '15,2')",140.44,,,
"(64, '2,0')",27.53,2.0,,
"(64, '15,0')",61.66,,,
"(64, '9,0')",78.46,2.0,,
"(64, '8,0')",100.5,2.0,,
"(64, '15,1')",119.7,,,
"(65, '11,0')",25.43,1.0,,
"(65, '15,2')",40.08,,,
"(65, '6,0')",67.44,1.0,,
"(65, '2,0')",82.48,3.0,,
"(65, '15,0')",116.61,,,
"(65, '4,0')",147.81,1.0,,
"(65, '15,1')",179.01,,,
"(66, '2,0')",16.65,3.0,,
"(66, '15,0')",50.78,,,
"(66, '14,0')",87.07,2.0,,
"(66, '15,1')",91.87,,,
"(66, '6,0')",119.23,2.0,,
"(66, '15,2')",146.59,,,
"(67, '2,0')",12.03,3.0,,
"(67, '15,0')",46.16,,,
"(67, '13,0')",54.21,1.0,,
"(67, '13,1')",54.21,1.0,,
"(67, '15,1')",62.26,,,
"(67, '13,2')",71.56,2.0,,
"(67, '15,2')",79.61,,,
"(67, '11,0')",94.26,1.0,,
"(67, '11,1')",94.26,1.0,,
"(67, '9,0')",103.93,2.0,,
"(67, '15,3')",120.73,,,
"(68, '2,0')",7.28,4.0,,
"(68, '15,0')",41.41,,,
"(68, '13,0')",49.46,2.0,,
"(68, '15,1')",57.51,,,
"(68, '13,1')",90.22,2.0,,
"(68, '15,2')",98.27,,,
"(68, '6,0')",125.63,3.0,,
"(68, '15,3')",152.99,,,
"(69, '2,0')",6.46,4.0,,
"(69, '15,0')",40.59,,,
"(69, '14,0')",45.39,2.0,,
"(69, '15,1')",50.19,,,
"(69, '9,0')",66.99,1.0,1.0,1.0
"(69, '13,0')",103.17,1.0,,
"(69, '15,2')",111.22,,,
"(70, '9,0')",19.2,1.0,3.0,
"(70, '15,2')",36.0,,,
"(70, '15,3')",36.0,1.0,,
"(70, '8,0')",55.2,2.0,,
"(70, '15,0')",74.4,,,
"(70, '7,0')",95.36,4.0,,
"(70, '15,1')",116.32,,,
"(71, '4,1')",33.26,3.0,1.0,
"(71, '15,2')",64.46,,,
"(71, '9,0')",84.48,2.0,,
"(71, '8,0')",86.88,2.0,,
"(71, '15,0')",106.08,,,
"(71, '4,0')",137.28,1.0,,
"(71, '3,0')",140.88,1.0,,
"(71, '15,1')",172.29,,,
"(72, '4,1')",18.37,4.0,,
"(72, '15,2')",49.57,,,
"(72, '9,0')",66.37,1.0,,
"(72, '8,0')",68.77,3.0,,
"(72, '15,0')",87.97,,,
"(72, '3,0')",119.38,1.0,,
"(72, '4,0')",122.98,3.0,,
"(72, '15,1')",154.18,,,
"(73, '15,1')",36.0,1.0,,
"(73, '8,0')",58.85,1.0,,
"(73, '11,0')",72.97,3.0,,
"(73, '15,0')",87.62,,,
"(73, '12,0')",97.22,1.0,,
"(73, '14,0')",102.02,,,
"(73, '6,0')",124.79,1.0,,
"(73, '15,2')",152.15,,,
"(74, '8,0')",118.63,4.0,,
"(74, '15,0')",137.83,,,
"(75, '8,0')",119.07,1.0,,
"(75, '15,0')",138.27,,,
"(76, '8,0')",25.24,1.0,,
"(76, '15,0')",44.44,,,
"(76, '14,0')",49.24,2.0,2.0,
"(76, '15,1')",54.04,,,
"(76, '14,1')",68.43,3.0,,
"(76, '15,2')",73.23,,,
"(76, '9,0')",90.07,1.0,,
"(76, '4,0')",104.47,3.0,,
"(76, '15,3')",135.67,,,
"(77, '7,0')",16.32,2.0,2.0,
"(77, '15,2')",37.28,,,
"(77, '11,1')",51.93,1.0,,
"(77, '8,0')",62.99,1.0,,
"(77, '11,0')",74.05,2.0,,
"(77, '15,0')",88.7,,,
"(77, '14,0')",112.96,1.0,,
"(77, '15,1')",117.76,,,
"(78, '8,0')",37.33,3.0,,
"(78, '15,0')",56.53,,,
"(78, '14,0')",62.16,4.0,,
"(78, '15,1')",67.17,1.0,,
"(78, '14,1')",71.97,,,
"(78, '9,0')",83.97,2.0,,
"(78, '7,0')",89.97,2.0,,
"(78, '15,2')",110.93,,,
"(78, '3,0')",142.34,3.0,,
"(78, '15,3')",173.75,,,
"(79, '5,0')",9.6,2.0,,
"(79, '15,2')",36.0,,,
"(79, '12,1')",45.6,2.0,,
"(79, '8,0')",55.2,2.0,,
"(79, '15,0')",74.72,1.0,,
"(79, '12,0')",84.32,1.0,,
"(79, '8,1')",93.92,3.0,,
"(79, '15,1')",113.12,,,
"(79, '12,2')",122.72,2.0,1.0,
"(79, '15,3')",132.32,,,
"(80, '11,1')",25.43,2.0,,
"(80, '15,2')",40.08,,,
"(80, '9,0')",56.88,1.0,,
"(80, '9,1')",56.88,1.0,,
"(80, '8,0')",64.31,2.0,,
"(80, '15,0')",83.51,,,
"(80, '11,0')",98.16,2.0,,
"(80, '15,1')",112.81,,,
