,0,1,2,3
"(13, '15,2')",116.41,1.0,,
"(13, '15,3')",116.41,1.0,,
"(13, '3,0')",148.05,,,
"(13, '6,1')",159.87,2.0,,
"(13, '7,0')",166.33,2.0,,
"(13, '15,4')",187.29,,,
"(14, '8,1')",16.8,4.0,,
"(14, '15,1')",36.0,,,
"(14, '14,0')",44.38,5.0,,
"(14, '12,0')",62.41,1.0,,
"(14, '13,0')",66.74,,,
"(14, '13,1')",68.49,1.0,,
"(14, '8,0')",81.04,4.0,,
"(14, '3,1')",94.92,5.0,,
"(14, '2,0')",98.31,5.0,,
"(14, '15,0')",132.44,,,
"(14, '15,2')",132.44,1.0,,
"(14, '8,2')",151.64,,,
"(14, '1,0')",170.17,1.0,,
"(14, '15,3')",206.17,,,
"(15, '1,0')",28.1,13.0,7.0,
"(15, '15,0')",64.1,1.0,,
"(15, '13,0')",72.15,5.0,,
"(15, '7,0')",85.4,2.0,,
"(15, '5,0')",93.08,7.0,,
"(15, '1,1')",102.68,3.0,,
"(15, '2,0')",110.87,3.0,,
"(15, '15,1')",145.0,,,
"(15, '6,0')",172.36,6.0,,
"(15, '15,2')",199.72,,,
"(16, '9,0')",29.23,6.0,6.0,4.0
"(16, '15,0')",46.03,1.0,,
"(16, '14,0')",50.83,5.0,,
"(16, '13,0')",55.16,,,
"(16, '13,1')",55.16,7.0,,
"(16, '7,0')",74.02,1.0,,
"(16, '8,0')",78.97,7.0,,
"(16, '15,1')",151.81,,,
"(16, '3,1')",183.22,1.0,,
"(16, '15,2')",214.63,,,
